old_local,new_local,phase2_flag
0_10_11_1_2_9_3_4_8_5_7_6,0_10_11_1_2_9_3_4_8_5_7_6,0
0_10_11_1_2_9_7_8_6_3_4_5,0_10_11_1_2_9_7_8_6_3_4_5,0
0_10_11_1_3_2_8_6_7_9_4_5,0_10_11_1_3_2_8_6_7_9_4_5,0
0_10_11_1_5_9_7_6_8_2_4_3,0_10_11_1_5_9_7_6_8_2_4_3,0
0_10_11_1_8_6_7_5_2_4_3_9,0_10_11_1_8_6_7_5_2_4_3_9,0
0_10_11_1_9_3_4_2_5_6_7_8,0_10_11_1_9_3_4_2_5_6_7_8,0
0_10_11_1_9_8_2_7_3_6_4_5,0_10_11_1_9_8_2_7_3_6_4_5,0
0_10_11_2_3_9_1_8_5_7_6_4,0_10_11_2_3_9_1_8_5_7_6_4,0
0_10_11_2_5_3_9_6_7_1_8_4,0_10_11_2_5_3_9_6_7_1_8_4,0
0_10_11_2_5_9_1_3_8_4_7_6,0_10_11_2_5_9_1_3_8_4_7_6,0
0_10_11_2_9_1_7_3_8_5_4_6,0_10_11_2_9_1_7_3_8_5_4_6,0
0_10_11_2_9_8_1_6_7_3_4_5,0_10_11_2_9_8_1_6_7_3_4_5,0
0_10_11_3_1_2_8_7_9_5_4_6,0_10_11_3_1_2_8_7_9_5_4_6,0
0_10_11_3_1_5_4_2_6_9_7_8,0_10_11_3_1_5_4_2_6_9_7_8,0
0_10_11_3_1_8_7_4_2_6_9_5,0_10_11_3_1_8_7_4_2_6_9_5,0
0_10_11_3_1_9_8_5_7_6_2_4,0_10_11_3_1_9_8_5_7_6_2_4,0
0_10_11_3_5_6_7_2_1_4_8_9,0_10_11_3_5_6_7_2_1_4_8_9,0
0_10_11_4_1_5_9_6_3_7_2_8,0_10_11_4_1_5_9_6_3_7_2_8,0
0_10_11_4_2_1_3_8_6_5_9_7,0_10_11_4_2_1_3_8_6_5_9_7,0
0_10_11_4_5_1_6_3_7_9_2_8,0_10_11_4_5_1_6_3_7_9_2_8,0
0_10_11_4_6_5_1_7_3_2_8_9,0_10_11_4_6_5_1_7_3_2_8_9,0
0_10_11_4_6_5_3_8_9_7_1_2,0_10_11_4_6_5_3_8_9_7_1_2,0
0_10_11_5_1_2_7_9_8_3_6_4,0_10_11_5_1_2_7_9_8_3_6_4,0
0_10_11_5_1_4_3_6_2_8_9_7,0_10_11_5_1_4_3_6_2_8_9_7,0
0_10_11_5_2_1_9_8_4_3_7_6,0_10_11_5_2_1_9_8_4_3_7_6,0
0_10_11_5_2_4_3_1_9_8_6_7,0_10_11_5_2_4_3_1_9_8_6_7,0
0_10_11_5_3_2_4_1_6_7_9_8,0_10_11_5_3_2_4_1_6_7_9_8,0
0_10_11_5_6_7_9_8_2_3_1_4,0_10_11_5_6_7_9_8_2_3_1_4,0
0_10_11_5_6_9_7_3_1_8_4_2,0_10_11_5_6_9_7_3_1_8_4_2,0
0_10_11_5_8_2_3_6_4_7_9_1,0_10_11_5_8_2_3_6_4_7_9_1,0
0_10_11_5_9_7_2_6_3_1_4_8,0_10_11_5_9_7_2_6_3_1_4_8,0
0_10_11_6_1_2_7_4_5_3_8_9,0_10_11_6_1_2_7_4_5_3_8_9,0
0_10_11_6_7_5_9_4_3_2_8_1,0_10_11_6_7_5_9_4_3_2_8_1,0
0_10_11_6_9_7_4_5_3_8_2_1,0_10_11_6_9_7_4_5_3_8_2_1,0
0_10_11_7_3_6_1_8_2_5_9_4,0_10_11_7_3_6_1_8_2_5_9_4,0
0_10_11_7_3_8_6_9_4_5_1_2,0_10_11_7_3_8_6_9_4_5_1_2,0
0_10_11_7_5_9_1_3_2_6_8_4,0_10_11_7_5_9_1_3_2_6_8_4,0
0_10_11_7_8_2_5_3_1_9_4_6,0_10_11_7_8_2_5_3_1_9_4_6,0
0_10_11_7_8_9_4_2_5_1_3_6,0_10_11_7_8_9_4_2_5_1_3_6,0
0_10_11_7_9_8_5_4_6_2_3_1,0_10_11_7_9_8_5_4_6_2_3_1,0
0_10_11_8_1_2_5_7_4_3_9_6,0_10_11_8_1_2_5_7_4_3_9_6,0
0_10_11_8_1_9_3_7_2_4_6_5,0_10_11_8_1_9_3_7_2_4_6_5,0
0_10_11_8_2_9_4_5_1_6_7_3,0_10_11_8_2_9_4_5_1_6_7_3,0
0_10_11_8_5_4_1_2_3_9_7_6,0_10_11_8_5_4_1_2_3_9_7_6,0
0_10_11_8_7_3_6_4_2_5_1_9,0_10_11_8_7_3_6_4_2_5_1_9,0
0_10_11_8_9_5_4_7_3_6_2_1,0_10_11_8_9_5_4_7_3_6_2_1,0
0_10_11_8_9_7_4_6_2_5_1_3,0_10_11_8_9_7_4_6_2_5_1_3,0
0_10_11_9_3_4_1_2_8_6_7_5,0_10_11_9_3_4_1_2_8_6_7_5,0
0_10_11_9_4_5_7_2_1_3_6_8,0_10_11_9_4_5_7_2_1_3_6_8,0
0_10_11_9_4_5_7_6_8_1_3_2,0_10_11_9_4_5_7_6_8_1_3_2,0
0_10_11_9_6_8_7_5_4_1_2_3,0_10_11_9_6_8_7_5_4_1_2_3,0
0_10_11_9_7_4_8_5_1_3_6_2,0_10_11_9_7_4_8_5_1_3_6_2,0
0_10_11_9_7_6_5_3_4_1_2_8,0_10_11_9_7_6_5_3_4_1_2_8,0
0_10_11_9_7_8_6_4_5_3_1_2,0_10_11_9_7_8_6_4_5_3_1_2,0
0_10_11_9_8_1_7_6_5_3_4_2,0_10_11_9_8_1_7_6_5_3_4_2,0
0_10_11_9_8_6_5_3_4_2_7_1,0_10_11_9_8_6_5_3_4_2_7_1,0
0_10_11_9_8_7_1_6_5_3_4_2,0_10_11_9_8_7_1_6_5_3_4_2,0
0_10_1_11_3_7_2_4_8_6_9_5,0_10_1_11_3_7_2_4_8_6_9_5,0
0_10_1_11_4_2_5_3_8_6_9_7,0_10_1_11_4_2_5_3_8_6_9_7,0
0_10_1_11_5_3_2_6_7_8_9_4,0_10_1_11_5_3_2_6_7_8_9_4,0
0_10_1_11_7_2_6_5_3_8_9_4,0_10_1_11_7_2_6_5_3_8_9_4,0
0_10_1_2_11_5_3_7_8_4_6_9,0_10_1_2_11_5_3_7_8_4_6_9,0
0_10_1_2_11_9_4_6_8_7_3_5,0_10_1_2_11_9_4_6_8_7_3_5,0
0_10_1_2_3_5_4_7_6_9_8_11,0_10_1_2_3_5_4_7_6_9_8_11,0
0_10_1_2_3_5_7_11_4_8_9_6,0_10_1_2_3_5_7_11_4_8_9_6,0
0_10_1_2_5_4_6_3_7_11_8_9,0_10_1_2_5_4_6_3_7_11_8_9,0
0_10_1_2_5_9_6_3_7_8_11_4,0_10_1_2_5_9_6_3_7_8_11_4,0
0_10_1_2_6_3_7_11_5_8_4_9,0_10_1_2_6_3_7_11_5_8_4_9,0
0_10_1_2_6_3_7_4_5_8_11_9,0_10_1_2_6_3_7_4_5_8_11_9,0
0_10_1_2_6_5_3_4_8_9_7_11,0_10_1_2_6_5_3_4_8_9_7_11,0
0_10_1_2_7_4_5_6_8_3_9_11,0_10_1_2_7_4_5_6_8_3_9_11,0
0_10_1_3_2_11_9_6_8_7_5_4,0_10_1_3_2_11_9_6_8_7_5_4,0
0_10_1_3_2_8_9_5_7_6_4_11,0_10_1_3_2_8_9_5_7_6_4_11,0
0_10_1_3_2_9_5_6_4_8_11_7,0_10_1_3_2_9_5_6_4_8_11_7,0
0_10_1_3_4_2_5_6_9_7_11_8,0_10_1_3_4_2_5_6_9_7_11_8,0
0_10_1_3_6_11_8_9_4_2_7_5,0_10_1_3_6_11_8_9_4_2_7_5,0
0_10_1_3_6_4_5_8_9_11_2_7,0_10_1_3_6_4_5_8_9_11_2_7,0
0_10_1_3_7_5_11_6_4_9_2_8,0_10_1_3_7_5_11_6_4_9_2_8,0
0_10_1_4_5_2_6_3_7_8_11_9,0_10_1_4_5_2_6_3_7_8_11_9,0
0_10_1_4_6_2_9_7_11_8_5_3,0_10_1_4_6_2_9_7_11_8_5_3,0
0_10_1_4_7_2_3_11_5_9_8_6,0_10_1_4_7_2_3_11_5_9_8_6,0
0_10_1_4_7_9_2_3_11_5_6_8,0_10_1_4_7_9_2_3_11_5_6_8,0
0_10_1_4_9_5_6_8_7_3_2_11,0_10_1_4_9_5_6_8_7_3_2_11,0
0_10_1_5_4_3_8_7_6_2_9_11,0_10_1_5_4_3_8_7_6_2_9_11,0
0_10_1_5_4_7_2_6_8_9_11_3,0_10_1_5_4_7_2_6_8_9_11_3,0
0_10_1_5_7_2_9_11_6_3_8_4,0_10_1_5_7_2_9_11_6_3_8_4,0
0_10_1_6_5_2_11_9_4_8_3_7,0_10_1_6_5_2_11_9_4_8_3_7,0
0_10_1_7_4_2_5_11_8_6_9_3,0_10_1_7_4_2_5_11_8_6_9_3,0
0_10_1_7_4_5_11_6_3_8_2_9,0_10_1_7_4_5_11_6_3_8_2_9,0
0_10_1_7_4_6_5_8_3_9_2_11,0_10_1_7_4_6_5_8_3_9_2_11,0
0_10_1_7_6_11_5_8_3_9_2_4,0_10_1_7_6_11_5_8_3_9_2_4,0
0_10_1_8_11_3_9_6_2_7_5_4,0_10_1_8_11_3_9_6_2_7_5_4,0
0_10_1_8_2_4_6_3_11_7_9_5,0_10_1_8_2_4_6_3_11_7_9_5,0
0_10_1_8_7_9_2_3_11_5_6_4,0_10_1_8_7_9_2_3_11_5_6_4,0
0_10_1_9_11_7_3_5_4_2_6_8,0_10_1_9_11_7_3_5_4_2_6_8,0
0_10_1_9_2_5_6_4_7_3_8_11,0_10_1_9_2_5_6_4_7_3_8_11,0
0_10_2_11_1_3_4_7_6_8_5_9,0_10_2_11_1_3_4_7_6_8_5_9,0
0_10_2_11_3_1_4_6_5_8_7_9,0_10_2_11_3_1_4_6_5_8_7_9,0
0_10_2_1_11_4_6_5_3_8_9_7,0_10_2_1_11_4_6_5_3_8_9_7,0
0_10_2_1_5_11_9_4_8_3_7_6,0_10_2_1_5_11_9_4_8_3_7_6,0
0_10_2_1_5_8_6_3_4_11_7_9,0_10_2_1_5_8_6_3_4_11_7_9,0
0_10_2_1_6_8_7_11_9_3_4_5,0_10_2_1_6_8_7_11_9_3_4_5,0
0_10_2_1_7_6_8_9_5_4_11_3,0_10_2_1_7_6_8_9_5_4_11_3,0
0_10_2_1_8_6_7_3_11_5_4_9,0_10_2_1_8_6_7_3_11_5_4_9,0
0_10_2_3_1_11_4_6_9_8_5_7,0_10_2_3_1_11_4_6_9_8_5_7,0
0_10_2_3_1_11_6_8_5_7_9_4,0_10_2_3_1_11_6_8_5_7_9_4,0
