formA	classA	formB	classB	shift
mhg:9_4_6_7_3_11_5_8_1_0_2_10	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:5_8_1_0_2_10_9_4_6_7_3_11	mhg:3_5_11_2_8_11_7_2_1_8_8	6
mhg:9_4_6_7_3_11_5_8_1_0_2_10	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:1_0_2_10_9_4_6_7_3_11_5_8	mhg:1_10_4_1_5_10_11_4_4_6_9	8
mhg:9_4_6_7_3_11_5_8_1_0_2_10	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:10_9_4_6_7_3_11_5_8_1_0_2	mhg:1_5_10_11_4_4_6_9_7_1_10	11
mhg:9_4_6_7_3_11_5_8_1_0_2_10	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:2_10_9_4_6_7_3_11_5_8_1_0	mhg:1_7_9_6_4_4_11_10_5_1_4	10
mhg:9_4_6_7_3_11_5_8_1_0_2_10	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:11_5_8_1_0_2_10_9_4_6_7_3	mhg:4_11_10_5_1_4_10_1_7_9_6	5
mhg:9_4_6_7_3_11_5_8_1_0_2_10	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:8_1_0_2_10_9_4_6_7_3_11_5	mhg:5_11_2_8_11_7_2_1_8_8_6	7
mhg:9_4_6_7_3_11_5_8_1_0_2_10	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:0_2_10_9_4_6_7_3_11_5_8_1	mhg:2_8_11_7_2_1_8_8_6_3_5	9
mhg:9_4_6_7_3_11_5_8_1_0_2_10	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:4_6_7_3_11_5_8_1_0_2_10_9	mhg:1_4_10_1_7_9_6_4_4_11_10	1
mhg:9_4_6_7_3_11_5_8_1_0_2_10	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:6_7_3_11_5_8_1_0_2_10_9_4	mhg:1_8_8_6_3_5_11_2_8_11_7	2
mhg:9_4_6_7_3_11_5_8_1_0_2_10	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:3_11_5_8_1_0_2_10_9_4_6_7	mhg:1_2_7_11_8_2_11_5_3_6_8	4
mhg:9_4_6_7_3_11_5_8_1_0_2_10	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:7_3_11_5_8_1_0_2_10_9_4_6	mhg:2_7_11_8_2_11_5_3_6_8_8	3
mhg:5_1_3_2_7_10_4_0_8_9_11_6	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:4_0_8_9_11_6_5_1_3_2_7_10	mhg:3_5_11_2_8_11_7_2_1_8_8	6
mhg:5_1_3_2_7_10_4_0_8_9_11_6	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:7_10_4_0_8_9_11_6_5_1_3_2	mhg:1_10_4_1_5_10_11_4_4_6_9	4
mhg:5_1_3_2_7_10_4_0_8_9_11_6	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:1_3_2_7_10_4_0_8_9_11_6_5	mhg:1_5_10_11_4_4_6_9_7_1_10	1
mhg:5_1_3_2_7_10_4_0_8_9_11_6	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:3_2_7_10_4_0_8_9_11_6_5_1	mhg:1_7_9_6_4_4_11_10_5_1_4	2
mhg:5_1_3_2_7_10_4_0_8_9_11_6	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:0_8_9_11_6_5_1_3_2_7_10_4	mhg:4_11_10_5_1_4_10_1_7_9_6	7
